RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
-0.65404725,-0.49729723,0.09629621,0.61363626,0.23899733,0.16666663,-0.569893,0.0,2.3636363,1
1.5198756,-1.8270262,-1.1851853,0.47727248,0.10063147,-0.1875,3.021504,0.0,0.0,5
-0.6313323,1.7297298,-2.5777779,2.340909,0.62893224,-1.1666666,0.17204279,0.64,0.8181819,7
1.1304308,0.32432446,-1.0296298,0.7272725,-0.7547168,-0.06250006,1.0430096,0.27,1.5454546,2
-0.098296374,0.05405425,0.08888881,-0.47727275,0.38993493,0.041666627,-0.46236578,0.0,0.0,1
6.13985,-1.0270267,-2.5777779,-0.7954545,-3.295599,-0.9166666,8.161288,0.0,2.1818182,2
-0.551965,1.0270267,-2.5777779,3.2727268,0.8553483,-1.0833333,0.47311768,0.4,0.8181819,7
-0.07936723,-0.42162192,0.059259206,-0.18181826,0.5408821,-0.041666627,-0.23655935,0.0,1.5454546,1
0.5520101,-0.5621625,-1.2074075,1.1590908,-0.113203205,0.08333337,1.6021497,0.0,0.0,5
-0.23436092,0.2486481,0.0,0.81818175,-0.32704747,0.125,-0.6559144,0.0,0.0,2
0.7561745,1.4162164,-2.5777779,-1.7954544,0.8805109,-1.1666666,2.8172033,0.0,0.0,6
-0.7637011,0.043243192,-0.022222202,-0.31818175,-0.050315734,0.0,-0.032258794,0.0,0.0,1
-0.58977824,0.68108106,-1.2592593,0.9999997,0.40251628,-1.1666666,0.07526846,0.76,0.0,7
-0.049125653,-0.1081085,0.09629621,-0.68181825,0.57861656,0.020833313,-0.3870973,0.0,0.0,1
-0.65404725,-0.2486481,0.059259206,0.43181798,0.4150976,0.33333337,-0.7526882,0.0,0.0,2
0.2722192,-0.2486481,0.10370361,-0.659091,-0.55346346,0.16666663,0.569892,0.0,1.3636364,2
-0.60109067,0.18378383,-0.059259206,-0.2954545,-0.113203205,0.062499937,-0.3010759,0.0,0.0,3
0.1588246,0.086486384,0.27407402,-0.22727275,0.0,-0.08333337,-0.5161294,0.0,0.0,2
-1.7126374,-0.2486481,-2.5777779,3.8409085,-2.8930826,11.770833,-1.7634406,0.0,0.0,5
-0.21926266,1.0594587,-2.5777779,1.6590905,0.7295637,-1.1666666,0.021504836,1.67,0.0,7
2.083198,0.5081083,0.1777778,-1.9090908,-1.295599,-0.9791666,1.569892,0.0,1.4545454,1
0.11722553,0.49729723,0.3333334,0.43181798,-1.2201301,-0.041666627,-0.41935506,0.0,1.3636364,2
3.810979,-0.65945894,-2.5777779,-1.5454544,-0.9559797,-1.0416666,6.236556,0.0,0.0,2
1.4442492,-2.3999999,-1.3111112,0.47727248,0.8301952,0.041666627,3.2473102,0.0,0.0,5
-0.018884081,-0.29189232,0.044444405,-0.31818175,0.27673173,0.18749994,-0.07526949,0.0,0.0,1
-0.022669911,-0.48648617,0.13333338,-0.18181826,0.28931308,0.08333337,-0.043010697,0.0,0.0,1
2.2533352,2.7459455,-1.2222223,-0.090909265,-2.9559798,-0.5208333,0.010751905,1.68,0.0,7
3.3950784,0.7999996,0.162963,-1.4545454,-1.522015,-1.125,1.3118268,0.0,0.90909094,1
0.23440598,1.2324326,-2.5777779,1.0681818,0.10063147,1.7708331,-2.2903225,2.88,0.0,7
0.07562646,-0.064865306,0.31111118,-0.11363651,-0.5660352,-0.020833313,-0.17204382,0.0,2.5454545,2
-0.5746349,1.8378372,-2.5777779,2.0909088,0.65409493,-1.1666666,0.11827916,0.67,0.0,7
0.20795025,-0.41081086,0.0,-0.13636376,0.21383467,0.08333337,-0.18279572,0.0,0.0,1
1.0926627,-0.43243194,-1.3851852,1.8636363,-0.7547168,0.41666663,1.1827947,0.24,4.6363635,5
-0.44231117,0.33513552,0.06666661,0.27272725,-0.4150976,0.16666663,-0.68817216,0.0,0.0,2
0.49531278,0.25945917,0.0,0.0,-1.0440298,-0.020833313,0.43010697,0.0,0.0,1
0.23819181,0.086486384,-0.10370379,0.43181798,-0.80503255,0.0,0.41935405,0.0,0.0,3
0.2609068,1.1567562,-0.162963,1.9772725,-1.9245312,1.875,-3.0215049,1.63,0.0,7
1.6786551,1.0378376,0.2518518,-1.9999998,-1.2704458,-0.93749994,1.0430096,0.0,0.0,1
-0.011312421,-0.043243192,0.15555559,-0.13636376,-0.21383467,0.020833313,-0.40860215,0.0,0.0,1
-0.31755903,1.8054051,-2.5777779,1.4545453,0.35220054,-1.1666666,-0.21505451,1.59,0.0,7
-0.052911483,-0.27027023,0.08888881,0.022727247,0.2641504,0.020833313,-0.21505451,0.0,1.0,1
-0.1890211,1.6216213,-2.5777779,1.4772725,0.3018848,-1.1666666,-0.07526949,1.59,0.7272727,7
-0.052911483,-0.5837836,-0.044444405,-0.340909,0.5283008,0.062499937,0.043010697,0.0,0.0,1
1.3232828,-0.30270234,-2.3333335,0.36363626,0.76729816,-0.8958333,2.870967,0.0,2.5454545,5
1.255228,0.42162192,0.748148,-0.56818175,-1.2578645,-1.0416666,0.16128986,0.0,0.0,1
0.46502614,0.22702703,0.2592592,-0.2045455,-0.28930348,0.020833313,-0.41935506,0.0,1.2727273,2
-0.54439336,0.11891852,0.07407401,0.31818175,-0.0754688,-0.22916669,-0.41935506,0.0,0.0,2
-0.5368217,-0.27027023,0.07407401,0.43181798,0.062897064,0.10416669,-0.6021508,0.0,0.0,2
-0.551965,0.9621623,-2.5777779,3.4772725,-0.21383467,-1.0,0.6236556,1.06,0.0,7
-0.7485578,-0.5729726,-0.0148148015,0.47727248,0.5283008,0.22916669,-0.54838717,0.0,2.1818182,1
-0.098296374,-1.135135,-0.1703704,-0.43181825,0.96856105,0.125,0.3225797,0.0,2.1818182,2
0.5293402,0.69189215,0.037037004,-0.068181746,-1.2201301,-0.10416669,0.19354762,0.11,0.0,1
-0.083153054,-0.443243,0.0148148015,-0.47727275,0.61635095,0.0,-0.053763628,0.0,0.0,1
-0.60109067,0.086486384,0.037037004,-0.022727247,-0.13836586,0.0,-0.290323,0.0,0.0,3
0.19285199,-0.68108106,-0.5333334,-1.1818181,1.295599,-0.4375,0.8817198,0.0,1.8181819,2
0.1588246,-0.3135134,-0.3851852,0.18181798,0.17610027,0.08333337,0.20430055,0.14,0.0,2
0.5633676,0.85405385,0.07407401,0.045454495,-0.88050133,0.0,-0.32258075,0.0,0.0,1
-0.46502614,-0.22702703,-0.059259206,-0.2045455,0.28931308,-0.08333337,-0.02150586,0.0,0.0,3
-0.056697313,0.15135169,0.13333338,-0.36363626,0.012581333,0.020833313,-0.35483852,0.0,1.0,1
-0.29867497,0.086486384,0.044444405,0.590909,-0.3018848,0.25,-0.52688235,0.0,0.0,2
-0.446097,1.2216215,-2.5777779,1.340909,1.0440298,-1.1666666,-0.12903312,1.57,0.0,7
-0.62001985,-0.37837872,-0.029629603,0.22727275,0.35220054,-0.25,-0.35483852,0.0,0.0,2
-0.4687669,1.8270262,-2.5777779,1.181818,0.4150976,-1.1666666,0.07526846,1.38,0.0,7
0.5141969,0.8108106,-0.8074074,0.47727248,-0.5157195,-1.1666666,1.0430096,0.0,0.0,6
0.4877411,0.3567566,-0.096296385,-0.27272725,-0.88050133,0.062499937,0.33333266,0.0,0.0,1
0.26469263,-0.43243194,0.1407408,-0.25,-0.2641504,0.125,0.08602139,0.0,3.1818182,2
-0.3591581,-0.49729723,0.029629603,0.43181798,0.7295637,0.20833337,-0.7526882,0.0,0.0,2
-0.47633857,-1.1783783,0.029629603,0.0,0.13836586,0.020833313,-0.07526949,0.0,0.0,3
-0.21926266,-0.38918874,0.10370361,0.5,0.226416,0.10416669,-0.52688235,0.0,0.0,2
0.6351631,0.5837836,-0.7925926,-0.36363626,-0.025153069,-1.1666666,1.2580642,0.0,0.0,6
-0.38939968,-0.42162192,-2.5777779,1.090909,1.3836491,0.8541667,1.6881711,0.0,0.0,5
1.5425456,0.54054046,-1.8296298,0.022727247,-0.74213547,-0.47916663,2.7311819,0.0,0.0,2
-0.58977824,0.7243243,0.029629603,-0.22727275,0.12578453,-0.3958333,-0.7096775,0.0,1.2727273,2
0.2722192,-0.34594554,0.1925926,-0.5454545,-0.62893224,0.16666663,0.3870963,0.0,2.0,2
-0.0037407607,-0.74594533,0.029629603,0.18181798,0.46541333,0.020833313,-0.06451656,0.0,0.0,1
1.6143862,1.1999993,0.27407402,-1.0454545,-1.7861654,-0.8541666,0.5913968,0.0,0.0,1
0.5557959,0.97297233,-2.5777779,1.6818178,-0.050315734,-1.1666666,2.4516118,0.0,0.0,6
1.6710835,1.0162156,0.22222221,-0.9999999,-1.7861654,-0.68749994,0.5806449,0.0,3.3636365,3
-0.40449792,-0.43243194,0.022222202,0.2045455,0.28931308,0.25,-0.39785025,0.06,2.2727273,2
-0.13985036,1.8378372,-2.5777779,1.022727,0.2641504,-1.1666666,0.010751905,1.55,0.0,7
-0.8997656,1.2216215,-2.5777779,2.9772725,0.40251628,-1.0833333,0.51612836,0.64,0.0,7
1.7315667,0.99459445,0.2444444,-1.2954545,-1.7987467,-1.1666666,1.1720418,0.0,0.0,1
1.3308095,0.84324276,0.2074074,-1.7499999,-1.2452832,-0.93749994,1.1290311,0.0,0.0,3
-0.3931855,-0.11891852,-0.022222202,0.931818,-0.3773536,0.08333337,-0.23655935,0.0,1.5454546,3
0.22687939,1.3081079,-0.9185186,0.61363626,-0.5031477,-1.1666666,0.70967704,0.0,0.0,6
-0.7379399748274861,-0.5459856189104786,-0.018281879321686515,0.42053844821960046,0.5440011804545647,0.23566745784404525,-0.5550976456190367,0.0,2.1818182,1
0.04830507490974998,-0.10058173406075659,0.0,0.10800088064143011,-0.0976119796404556,0.05275028930664211,-0.18279572,0.0,0.0,1
0.49015732599094614,0.3762224833099762,-0.08855190014425232,-0.26084650827491507,-0.9002281957578426,0.052819337275950035,0.32521343994972374,0.006389197338501941,0.0,1
0.533893877817258,0.7135932537016887,0.04199343889187685,-0.05297450624973167,-1.1746796689928818,-0.09022670206233249,0.12447733225169966,0.09527937603524288,0.0,1
-0.08307774540119761,-0.2616454869288632,0.07116060403349493,0.3218909893892483,0.133699903065524,-0.0040969748329501565,-0.19789819142443352,0.0,0.8549508988562582,1
-0.5771878368119596,-0.07721004640332985,-0.04222787447283062,-0.238844634289075,-0.0650019050141376,0.054516501346565695,-0.25781079303169835,0.0,0.0,3
-0.017465189633974088,0.086486384,-0.06083220626320709,0.2933572451437646,-0.6019566967767649,0.0,0.20317664890366133,0.0,0.0,3
1.28225562718614,1.0849540807938391,0.2850652723504853,-1.1995766679588356,-1.4687778785449832,-1.134109231920276,0.8939741100915843,0.014650817100957579,0.21310279597160323,3
1.4382567911366022,0.8978618701823969,0.21208542771649744,-1.5131746698841178,-1.4160759353074464,-0.8585581966280392,0.955868849323501,0.0,1.0621253175182415,3
-0.42330603896402885,-0.1551510694132064,0.015387062479279089,-0.18094036026780277,-0.1695414797315806,0.08582696476101799,-0.018142154744766936,0.0,0.0,3
-0.60109067,0.17190982143525482,-0.04750738650935786,-0.26217134744981463,-0.11627401100020815,0.05487255501061011,-0.29976363506453757,0.0,0.0,3
-0.5381129294078922,-0.5038670653960137,-0.01438608278409086,-0.14630224638847028,0.013794667713718733,0.04146566312708809,-0.18708361038711863,0.0,0.0,3
0.08882151997695435,0.24647708219027115,-0.08328493343350067,0.6113536651642743,-1.0276200916324874,0.023699024594566954,0.22506686493540387,0.0,0.7900458344557605,3
-0.31232776515665195,-0.3667239700108066,0.0619834075835771,-0.10945734466650106,-0.20470944921557688,0.10038836559127731,0.15847321671514747,0.0,0.0,3
1.3476462385959538,1.075625197765442,0.28427471771974777,-1.3288521757494645,-1.5156668466299807,-1.1073628559418627,1.0015095326184154,0.0,0.0,3
1.3384752725631277,0.9490465595555249,0.2424051147782572,-1.5582512040643572,-1.3683889623210141,-1.0148385809190277,1.0709704888626552,0.0,0.0,3
-0.413724050426995,0.26129019993569824,0.0007740362289024236,-0.3733822690223527,-0.08183825300074904,-0.2492111007489486,-0.20722720722641214,0.0,0.0,3
-0.3760658514455313,-0.7848135069397166,0.052743717800911236,-0.04727900155527922,-0.04480237269487619,0.0641723374744545,0.0701259474834014,0.0,0.0,3
-0.08569746635094022,-0.4868637752789109,-0.043265133532817274,0.23607932847125074,-0.3773997482631058,0.00944352663012402,0.19514628372316184,0.0,0.0,3
-0.4899763814756758,0.22974754099150135,-0.02365760837671676,-0.34166811388138174,-0.09460280363748072,-0.12235449578842902,-0.245420678433642,0.0,0.0,3
-0.2741018875673533,-0.39959132801293923,0.07024392946272366,-0.07639283680299408,-0.23564195658226017,0.10226572731911646,0.20430055,0.0,0.0,3
-0.49562258670179693,-0.13464915177920753,-0.059259206,-0.22498795016106443,0.19880037944087706,-0.050540245994998186,-0.08437198556762027,0.0,0.0,3
0.09750945542294173,0.27223240698230666,-0.08664820110601706,0.6212382341810261,-1.048991502800149,0.022093750547725596,0.22450529210241704,0.0,0.7686810290569772,3
-0.06321829839711979,0.4062809594601426,0.1130779074423891,-0.5191613376069122,-0.02316400188316997,-0.8323273033638847,-0.03166495012538023,0.0,0.0,3
0.7329776619544348,0.5702148790827729,0.03620883011210871,-0.02161825781276483,-1.3499592194386651,-0.263987503040113,0.36848698032664234,0.0,1.8417092485954207,3
-0.5355210842183044,0.17618239260095303,-0.06273147312407934,-0.2386357811533651,-0.16725290181158103,0.057617081610867996,-0.24479175904399236,0.0,0.0,3
-0.4873781954652313,-1.0664472593557295,0.03028510244819189,-0.0020111909517819813,0.11387717770006879,0.01898972100659922,-0.09430011317494749,0.0,0.0,3
0.04131347072568066,0.2963462022479074,-0.05911045853224743,0.4353591995244435,-0.9554686822374469,0.037583654488603145,0.20851533196141403,0.0,0.16034963074153483,3
-0.60109067,0.17938333029950054,-0.05490398948934016,-0.2831197857347916,-0.1143412436674412,0.059673234292410574,-0.30058957548507387,0.0,0.0,3
-0.49777908573323865,-0.07881665860388126,0.049086265412461,-0.04490892546804685,-0.16291815291960995,0.03388858371221442,-0.12940695687519999,0.0,0.0,3
0.8274402046794177,0.8752278097668604,0.24201298652904119,-0.9344780206949583,-0.989159439119496,-1.077594723704009,0.5850286812914551,0.0,0.0,3
-0.5641696915257298,0.0723107008967985,-0.059259206,-0.2707864308704669,-0.003980800792024453,0.022928210345164686,-0.22521484033301065,0.0,0.0,3
0.3707932790692361,0.3980226921027856,-0.03560731095726774,0.35611582818338217,-1.1815485136205837,-0.10047760425929664,0.2865769419335433,0.0,1.2541227951366793,3
-0.3771953209919402,0.22620840404794487,-0.05661659105109658,-0.05221366743549691,-0.4048896712895532,0.055067584351461175,-0.12078117022990362,0.0,0.0,3
1.0238554849840913,0.6306437785556408,0.12000553037909244,-1.1370519636550394,-1.1216015995026993,-0.6741238540241512,0.9296583259218631,0.0,0.0,3
0.16432566319976405,0.18622515737195872,-0.09566385606722719,0.5428240325315672,-0.9415580880788416,0.011306157364309819,0.3143165092944381,0.0,0.44402411244097373,3
1.6263317299488167,1.0360211751324881,0.23474881920605492,-1.0256224889213064,-1.7613486017046769,-0.7550261301942456,0.6336808019693672,0.0,2.889618633140677,3
-0.18033316637858116,-0.3211165633648557,0.038909024405095485,0.012487762303122818,-0.33077539563581093,0.08356220421314202,0.2468387815994111,0.0,0.0,3
0.09644756812888307,0.2726880646763931,-0.08612784401816324,0.6177258375890444,-1.0472242823235425,0.02238644996868278,0.22420314354860654,0.0,0.7571859127078622,3
0.6334189574890351,0.43126178242077307,0.047941223327110594,-1.3612521064162202,-0.18248759150635818,-0.8377043206960588,0.32028783053934196,0.1480330404900776,2.1532078796172547,3
0.30309882469469995,0.5259962530845294,0.15020412551422402,-0.81979601546965,-0.2933356311070261,-0.93749994,0.25714273865174864,0.0,0.0,3
1.3592983393296543,0.8679845574131896,0.16039953585908578,-0.6748288317314245,-1.6411896322603394,-0.5467430148767877,0.5101329296122502,0.0,2.857814754346706,3
0.02478877648793836,0.29870253660081336,-0.05115642790068491,0.38372792400220673,-0.9268578092116385,0.04201175966811853,0.20430055,0.0,0.0,3
-0.46711371967290466,-0.40258803440347946,-0.042855792160788914,-0.16679896561400828,0.2614574956424861,-0.0641105991165819,-0.031427323481282826,0.0,0.0,3
-0.5080005724606258,-0.06246183384764242,0.04789413031477174,-0.042714304858349574,-0.16048898742005951,0.03053570018920186,-0.14532773875747904,0.0,0.0,3
-0.60109067,0.11285329443391912,0.01094142134518019,-0.09663437764287214,-0.1315469608619424,0.016937034924889877,-0.29323695882277206,0.0,0.0,3
-0.43223790774455284,-1.0052856755594015,0.039795356804858725,-0.020793644666485492,0.05780715487607385,0.03989412743069938,-0.011323531673803705,0.0,0.0,3
-0.4855757957975964,-1.0775174794787834,0.023047862094536922,-0.0218768255557698,0.11973851619500427,0.02391850366301529,-0.09198924698777522,0.0,0.0,3
-0.07545429048960353,0.13075940119001522,-0.06499123126987343,0.7422738125941838,-0.8131144708177599,0.04323744146656357,0.060064137403016415,0.0,1.0788842382558603,3
-0.046217622785322376,0.2776496005239532,-0.041552342298861115,0.3389625222020584,-0.838996493577749,0.03683875411592562,0.146988984442519,0.0,0.0,3
-0.05941431183545909,0.28642280338102105,-0.0528658528200657,0.2930249343615769,-0.8188885329248851,0.04451863576667174,0.13511624535184558,0.0,0.0,3
0.5263930833436151,0.6244260288521546,0.08487703134176097,-0.20437345866051992,-1.186691075249691,-0.41351476302740175,0.4878394353389508,0.0,0.0,3
1.0185142105732434,-0.4052280834570685,-1.8884235753794212,0.6779603092097146,0.4193678378203302,-0.5089153592643894,2.369593544461815,0.0,1.5396175535931194,5
2.1425488757341546,0.14911064557088027,-2.477273380581388,0.5693988745244876,-0.6610419758403786,-0.4572176690238717,3.74442468573147,0.0,0.0,5
0.9644571767652559,-0.9778872285231874,-2.1979788996168823,0.6260327085738895,0.914811472998629,-0.3238634992230789,3.1153452147149467,0.0,0.0,5
1.1679695647560786,-0.3900699366791265,-1.694794274823946,1.3738251337296163,-0.2577168648276172,-0.011918106199805156,1.7340517807187155,0.1616302154865995,3.9535964676369595,5
-0.1123708615561354,-0.353486484121086,-1.897470580365134,2.712985487750692,-1.6732647143154187,5.2939172098370735,-0.08277842593451568,0.13690655385729586,2.644785621728128,5
1.3151698146449862,-1.158784409443361,-1.2810184000782614,1.1415705256837256,-0.3092221167301816,0.10199595033165443,2.1404574976681,0.11499977759380231,2.221586547266762,5
